Count,Year,JD,mm-dd,HR MIN,PPFD_in,PPFD^2,TA,TA^2,PPFD.x.TA,RH,WS,WD,P,kPa,Vol W C ,Soil T,G,RAD,NETRAD,Sonic T,USTAR,FC,SC,NEE,CO2,  H,  LE
65,2018,2,2-Jan,730,0,0,-11.47,131.6,0,56.6,2.89,293.1,0,102.9,0.053,1.71,-12.2,0,-66.62,-10.63,0.499,0.902,-0.263,1.165,415.75,-38.473,0.153
66,2018,2,2-Jan,800,0.1,0,-11.46,131.3,-1.146,56.7,2.82,301.2,0,102.9,0.053,1.7,-12.2,0,-66.6,-10.61,0.564,0.979,-0.082,1.061,415.94,-44.76,-0.152
67,2018,2,2-Jan,830,8.8,77,-11.41,130.2,-100.408,56.9,2.72,282.1,0,102.9,0.053,1.69,-12.21,4.2,-63.15,-10.57,0.512,0.557,-0.096,0.654,416.22,-41.792,0.123
68,2018,2,2-Jan,900,67.7,4583,-11.25,126.6,-761.625,55.8,2.91,258.1,0,102.9,0.053,1.68,-12.21,40.6,-40.15,-10.43,0.624,1.003,0.041,0.963,416.39,-39.951,1.696
69,2018,2,2-Jan,930,196.9,38770,-10.65,113.4,-2096.985,53.8,3.15,288.1,0,102.9,0.053,1.66,-12.21,114.4,3.61,-9.93,0.726,1.526,0.164,1.361,417,8.101,2.145
70,2018,2,2-Jan,1000,338.7,114718,-9.87,97.4,-3342.969,51.9,3.43,291.3,0,102.8,0.053,1.66,-12.19,181.5,49.83,-9.21,0.761,1.681,0.148,1.532,417.92,53.248,4.409
71,2018,2,2-Jan,1030,477.8,228293,-9.2,84.6,-4395.76,51,4.07,284.3,0,102.8,0.053,1.65,-12.16,244.6,99.4,-8.6,0.787,1.224,-0.066,1.29,419.13,80.09,5.497
72,2018,2,2-Jan,1100,612.4,375034,-8.32,69.2,-5095.168,49.4,3.82,303,0,102.7,0.054,1.65,-12.09,305.5,149.5,-7.69,0.768,1.737,1.26,0.477,417.86,134.424,12.221
73,2018,2,2-Jan,1130,710,504100,-7.7,59.3,-5467,47.7,4.6,289.7,0,102.7,0.054,1.65,-11.99,348.4,185.5,-7.1,0.885,2.086,1.353,0.733,415.98,141.41,9.112
74,2018,2,2-Jan,1200,802,643204,-7.13,50.8,-5718.26,47.1,3.85,296,0,102.6,0.054,1.65,-11.87,390.3,223.4,-6.53,0.886,2.033,0.327,1.707,416.18,183.905,7.984
75,2018,2,2-Jan,1230,859,737881,-6.39,40.8,-5489.01,45.7,3.49,283.1,0,102.6,0.054,1.65,-11.76,415.3,246.2,-5.82,0.826,1.037,0.773,0.264,415.69,255.771,24.115
76,2018,2,2-Jan,1300,885,783225,-5.84,34.1,-5168.4,44.7,3.63,330.3,0,102.6,0.054,1.66,-11.67,427.8,256.9,-5.36,0.764,2.007,0.328,1.679,415.85,208.809,34.678
77,2018,2,2-Jan,1330,879,772641,-5.5,30.3,-4834.5,43.9,3.79,241.6,0,102.6,0.054,1.66,-11.57,426.8,258.5,-5.07,0.857,2.332,0.006,2.326,416.36,235.508,19.026
78,2018,2,2-Jan,1400,854,729316,-5.2,27.0,-4440.8,43,3.38,310.3,0,102.6,0.054,1.67,-11.48,415.7,252.7,-4.76,0.813,1.64,0.201,1.438,416.4,209.75,35.698
79,2018,2,2-Jan,1430,804,646416,-4.81,23.1,-3867.24,42.8,3.35,266.1,0,102.6,0.054,1.67,-11.38,392,228.5,-4.37,0.763,1.399,0.611,0.788,415.7,188.809,30.095
80,2018,2,2-Jan,1500,723,522729,-4.66,21.7,-3369.18,42.3,3.64,272.9,0,102.6,0.054,1.68,-11.27,355.3,196.4,-4.22,0.686,1.531,0.318,1.213,415.25,143.353,24.332
81,2018,2,2-Jan,1530,619.3,383532,-4.51,20.3,-2793.043,42,3.21,267.7,0,102.5,0.054,1.68,-11.16,308.2,155.7,-4.02,0.701,0.926,0.028,0.898,415.43,156.237,25.869
82,2018,2,2-Jan,1600,494.9,244926,-4.46,19.9,-2207.254,41.9,3.27,232.8,0,102.6,0.054,1.69,-11.04,251.5,108.3,-3.95,0.737,0.846,-0.168,1.014,415.86,130.328,19.502
83,2018,2,2-Jan,1630,356.2,126878,-4.68,21.9,-1667.016,42.8,3.47,307.1,0,102.6,0.054,1.69,-10.92,188.3,57.97,-4.13,0.706,1.651,-0.252,1.902,416.06,89.001,15.861
