Count,,Year,JD,HR MIN,,RAD,NETRAD,PPFD_in,TA,RH,WS,WD,P,kPa,,Vol W C ,Soil T,G,,Sonic T,USTAR,,FC,SC,NEE,CO2,,  H,  LE
90,,2018,2,2000,,0,-66.91,0,-7.79,56.8,1.78,265.9,0,102.6,,0.053,1.72,-10.48,,-6.89,0.259,,0.344,-0.604,0.948,419.03,,-26.341,-0.296
91,,2018,2,2030,,0,-65.74,0,-8.38,59.2,1.66,204.8,0,102.6,,0.053,1.72,-10.52,,-7.48,0.21,,-0.333,-1.184,0.852,420.6,,-10.783,0.109
92,,2018,2,2100,,0,-63.87,0,-8.97,61.1,1.72,235,0,102.6,,0.053,1.72,-10.57,,-8.03,0.222,,0.066,-1.151,1.217,422.09,,-21.856,-0.673
93,,2018,2,2130,,0,-63.44,0,-9.34,62,1.94,204,0,102.6,,0.053,1.72,-10.63,,-8.4,0.238,,0.009,-1.034,1.043,423.68,,-22.545,0.042
94,,2018,2,2200,,0,-63.98,0,-9.37,61.3,1.79,223.4,0,102.6,,0.053,1.72,-10.7,,-8.44,0.259,,0.191,0.683,-0.491,422.19,,-25.602,-0.766
95,,2018,2,2230,,0,-62.92,0,-9.67,62.4,1.77,229.3,0,102.6,,0.053,1.71,-10.77,,-8.74,0.223,,0.106,-0.046,0.152,421.81,,-19.143,-0.23
96,,2018,2,2300,,0,-63.36,0,-10.05,63.9,2.18,235.1,0,102.6,,0.052,1.7,-10.85,,-9.09,0.261,,0.082,-0.347,0.429,421.93,,-29.604,-0.862
97,,2018,2,2330,,0,-65.3,0,-10.11,64.3,2.34,213.8,0,102.6,,0.052,1.7,-10.92,,-9.18,0.309,,1.568,0.49,1.079,420.8,,-29.125,0.397
98,,2018,2,2400,,0,-65.44,0,-10.23,64.5,2.09,224.3,0,102.5,,0.052,1.69,-11,,-9.35,0.26,,0.27,0.209,0.061,420.17,,-22.885,-0.175
99,,2018,3,30,,0,-64.23,0,-11.02,67.7,1.56,210.9,0,102.6,,0.052,1.68,-11.08,,-10.16,0.193,,0.198,-0.813,,420.61,,-19.077,-0.289
100,,2018,3,100,,0,-62.88,0,-11.45,69.5,1.79,246.6,0,102.5,,0.052,1.66,-11.17,,-10.47,0.218,,0.215,-0.491,0.706,420.94,,-22.778,0.41
101,,2018,3,130,,0,-63.28,0,-11.33,69.6,1.9,223.9,0,102.5,,0.052,1.65,-11.24,,-10.37,0.218,,0.131,0.004,0.127,421.13,,-21.181,-0.331
102,,2018,3,200,,0,-60.72,0,-11.56,71,1.53,247,0,102.5,,0.052,1.64,-11.33,,-10.57,0.173,,0.1,-0.43,,421.66,,-17.533,-0.109
103,,2018,3,230,,0,-58.73,0,-11.91,72.8,1.33,223.3,0,102.5,,0.052,1.62,-11.42,,-10.92,0.131,,-0.098,-0.506,,422.15,,-8.78,0.173
104,,2018,3,300,,0,-59.94,0,-11.9,73.3,1.8,228.2,0,102.5,,0.052,1.61,-11.51,,-10.8,0.191,,0.104,-0.301,,422.79,,-19.545,0.396
105,,2018,3,330,,0,-59.79,0,-11.37,72.6,1.89,237.7,0,102.5,,0.052,1.59,-11.6,,-10.24,0.2,,-0.057,0.391,-0.448,422.83,,-20.519,-0.041
106,,2018,3,400,,0,-58.45,0,-11.32,72.9,1.45,236.1,0,102.5,,0.052,1.57,-11.69,,-10.29,0.129,,-0.213,-0.658,,424.29,,-13.434,0.228
107,,2018,3,430,,0,-56.96,0,-11.68,74.7,1.46,225.3,0,102.5,,0.052,1.56,-11.77,,-10.59,0.116,,-0.134,-1.127,,426.06,,-11.287,0.065
108,,2018,3,500,,0,-54.54,0,-11.79,75.6,1.58,238.4,0,102.5,,0.052,1.54,-11.85,,-10.65,0.147,,-0.917,-0.978,,427.92,,-17.773,0.284
109,,2018,3,530,,0,-56.08,0,-11.81,75.8,1.37,231.5,0,102.5,,0.051,1.52,-11.92,,-10.7,0.109,,-0.035,-1.402,,430.81,,-11.724,1.319
110,,2018,3,600,,0,-55.01,0,-12.16,76.5,1.42,253.2,0,102.5,,0.051,1.5,-11.98,,-10.84,0.119,,-0.054,-1.873,,434.13,,-13.061,0.753
111,,2018,3,630,,-0.1,-53.34,-0.1,-12.38,75.6,0.94,216.5,0,102.5,,0.051,1.48,-12.05,,-10.89,0.053,,0.171,-1.269,,436.41,,2,1.126
112,,2018,3,700,,-0.2,-53.09,-0.2,-13.43,78.5,1.13,209.4,0,102.5,,0.051,1.46,-12.11,,-11.98,0.062,,-0.092,-0.605,,435.9,,-5.515,-0.303
